t,ax,ay,az,gx,gy,gz
3860,0.40,0.00,9.76,-0.04,-0.05,0.01
3875,0.24,0.07,9.76,-0.02,-0.06,-0.08
3891,-0.13,-0.62,9.87,-0.02,-0.06,-0.10
3906,-0.30,-0.73,9.67,-0.05,-0.03,-0.05
3922,-0.15,-0.56,9.89,-0.09,0.01,0.03
3938,-0.29,-0.43,9.68,-0.10,0.04,0.08
3953,-0.13,-0.33,9.80,-0.08,0.03,0.07
3969,0.10,-0.41,9.82,-0.08,0.01,0.04
3984,0.45,-0.52,9.87,-0.07,-0.01,0.04
3999,0.87,-0.49,9.89,-0.07,-0.03,0.04
4015,1.13,-0.65,9.75,-0.06,-0.03,0.01
4030,1.49,-0.76,9.90,-0.04,-0.05,-0.05
4046,1.87,-0.69,9.87,-0.02,-0.07,-0.12
4062,2.04,-0.25,9.84,-0.01,-0.07,-0.18
4077,1.39,0.15,9.85,-0.02,-0.05,-0.12
4092,-0.23,-0.21,9.73,-0.03,-0.00,-0.02
4108,-0.14,-0.52,9.89,-0.05,-0.01,0.00
4123,0.05,-0.33,9.75,-0.05,-0.00,0.00
4139,-0.09,-0.39,9.81,-0.05,0.01,0.01
4155,-0.05,-0.41,9.75,-0.05,0.01,0.00
4170,-0.04,-0.41,9.79,-0.05,0.01,0.01
4186,-0.04,-0.40,9.81,-0.05,0.00,0.00
4201,-0.04,-0.39,9.81,-0.05,0.00,0.00
4216,-0.03,-0.38,9.82,-0.05,-0.00,0.00
4232,-0.03,-0.36,9.81,-0.05,-0.00,0.00
4247,-0.04,-0.38,9.78,-0.05,0.00,0.00
4262,-0.04,-0.40,9.78,-0.05,-0.00,0.00
4278,-0.02,-0.42,9.80,-0.05,-0.00,0.00
4293,-0.01,-0.41,9.77,-0.05,0.00,0.00
4310,-0.01,-0.42,9.78,-0.05,-0.00,0.00
4325,-0.03,-0.41,9.79,-0.05,-0.00,0.00
4340,-0.02,-0.39,9.80,-0.05,-0.00,0.00
4356,-0.02,-0.39,9.81,-0.05,-0.00,0.00
4371,0.00,-0.41,9.81,-0.05,-0.00,-0.00
4386,-0.01,-0.37,9.80,-0.05,-0.00,-0.00
4402,-0.02,-0.37,9.82,-0.05,-0.00,0.00
4417,-0.00,-0.39,9.79,-0.05,-0.00,0.00
4432,0.00,-0.38,9.79,-0.05,-0.00,0.00
4449,-0.03,-0.38,9.77,-0.05,-0.00,0.00
4464,-0.03,-0.38,9.81,-0.05,0.00,0.00
4480,-0.04,-0.38,9.78,-0.05,0.00,-0.00
4495,-0.06,-0.37,9.76,-0.05,-0.00,-0.00
4510,-0.03,-0.41,9.83,-0.05,-0.00,0.00
4526,-0.05,-0.39,9.80,-0.05,-0.00,0.00
4541,-0.03,-0.39,9.79,-0.05,-0.00,0.00
4556,-0.02,-0.41,9.82,-0.05,-0.00,0.00
4572,-0.03,-0.37,9.81,-0.05,-0.00,-0.00
4587,-0.02,-0.39,9.80,-0.05,-0.00,-0.00
4603,-0.01,-0.41,9.77,-0.05,-0.00,-0.00
4619,-0.00,-0.38,9.81,-0.05,-0.00,-0.00
4634,-0.01,-0.38,9.81,-0.05,-0.00,-0.00
4649,-0.03,-0.38,9.80,-0.05,-0.00,-0.00
4665,-0.00,-0.40,9.78,-0.05,-0.00,0.00
4680,-0.01,-0.40,9.80,-0.05,-0.00,0.00
