t,ax,ay,az,gx,gy,gz
3859,-0.04,-0.27,9.81,-0.05,-0.00,-0.00
3874,-0.02,-0.25,9.81,-0.05,-0.00,0.00
3890,-0.03,-0.27,9.77,-0.05,-0.00,0.00
3905,-0.03,-0.25,9.78,-0.05,-0.00,-0.00
3920,-0.05,-0.27,9.79,-0.05,-0.00,0.00
3936,-0.04,-0.24,9.80,-0.05,-0.00,-0.00
3951,-0.03,-0.24,9.81,-0.05,-0.00,-0.00
3966,-0.05,-0.27,9.82,-0.05,-0.00,0.00
3983,-0.04,-0.25,9.79,-0.05,-0.00,-0.00
3998,-0.02,-0.25,9.80,-0.05,-0.00,0.00
4014,-0.03,-0.24,9.81,-0.05,-0.00,-0.00
4029,-0.04,-0.25,9.80,-0.05,-0.00,0.00
4044,-0.01,-0.24,9.79,-0.05,-0.00,0.00
4060,0.01,-0.26,9.81,-0.05,-0.00,0.00
4075,-0.03,-0.27,9.81,-0.05,-0.00,0.00
4090,-0.03,-0.28,9.81,-0.05,-0.00,-0.00
4106,-0.05,-0.26,9.80,-0.05,-0.00,0.00
4121,-0.05,-0.25,9.80,-0.05,0.00,-0.00
4137,-0.03,-0.27,9.80,-0.05,-0.00,0.00
4153,-0.03,-0.25,9.81,-0.05,-0.00,-0.00
4168,-0.01,-0.23,9.78,-0.05,-0.00,0.00
4184,-0.02,-0.26,9.81,-0.05,-0.00,0.00
4199,-0.02,-0.28,9.79,-0.05,-0.00,0.00
4214,-0.02,-0.26,9.82,-0.05,-0.00,0.00
4230,-0.01,-0.26,9.80,-0.05,-0.00,-0.00
4245,-0.03,-0.25,9.82,-0.05,-0.00,-0.00
4260,-0.02,-0.24,9.80,-0.05,-0.00,0.00
4277,-0.04,-0.24,9.78,-0.05,-0.00,-0.00
4292,-0.03,-0.23,9.80,-0.05,-0.00,-0.00
4307,-0.03,-0.24,9.80,-0.05,0.00,0.00
4323,-0.06,-0.26,9.81,-0.05,-0.00,0.00
4338,-0.04,-0.23,9.81,-0.05,-0.00,0.00
4354,-0.02,-0.26,9.81,-0.05,-0.00,0.00
4369,-0.05,-0.25,9.82,-0.05,-0.00,0.00
4384,-0.05,-0.23,9.80,-0.05,-0.00,0.00
4400,-0.02,-0.24,9.79,-0.05,-0.00,0.00
4415,-0.02,-0.24,9.81,-0.05,-0.00,0.00
4430,-0.02,-0.25,9.80,-0.05,-0.00,0.00
4447,-0.04,-0.26,9.79,-0.05,-0.00,0.00
4462,-0.04,-0.26,9.78,-0.05,-0.00,-0.00
4477,-0.01,-0.24,9.80,-0.05,-0.00,0.00
4493,0.00,-0.26,9.78,-0.05,-0.00,0.00
4508,-0.02,-0.25,9.79,-0.05,-0.00,-0.00
4524,-0.01,-0.25,9.79,-0.05,-0.00,-0.00
4539,-0.03,-0.23,9.81,-0.05,-0.00,-0.00
4554,-0.01,-0.26,9.80,-0.05,-0.00,0.00
4570,-0.02,-0.27,9.80,-0.05,-0.00,-0.00
4586,-0.06,-0.24,9.80,-0.05,-0.00,-0.00
4601,-0.05,-0.25,9.80,-0.05,-0.00,-0.00
4617,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
4632,-0.04,-0.26,9.80,-0.05,-0.00,0.00
4647,-0.03,-0.26,9.80,-0.05,-0.00,0.00
4663,-0.02,-0.26,9.79,-0.05,-0.00,0.00
4678,-0.02,-0.24,9.78,-0.05,-0.00,0.00
4694,-0.03,-0.26,9.82,-0.05,-0.00,-0.00
4709,-0.02,-0.25,9.82,-0.05,0.00,-0.00
4725,-0.04,-0.26,9.80,-0.05,-0.00,0.00
4741,-0.01,-0.26,9.80,-0.05,-0.00,0.00
4756,-0.04,-0.24,9.81,-0.05,-0.00,0.00
4771,-0.03,-0.23,9.79,-0.05,-0.00,-0.00
4787,-0.02,-0.26,9.82,-0.05,0.00,-0.00
4802,-0.02,-0.25,9.79,-0.05,-0.00,-0.00
4817,-0.03,-0.27,9.78,-0.05,-0.00,-0.00
4833,-0.03,-0.26,9.80,-0.05,-0.00,0.00
4848,-0.03,-0.24,9.82,-0.05,-0.00,0.00
4865,-0.02,-0.26,9.83,-0.05,-0.00,-0.00
4880,-0.02,-0.25,9.79,-0.05,-0.00,0.00
4895,-0.04,-0.24,9.80,-0.05,0.00,-0.00
4911,-0.02,-0.25,9.79,-0.05,-0.00,0.00
4926,-0.04,-0.26,9.78,-0.05,-0.00,-0.00
4941,-0.05,-0.25,9.80,-0.05,-0.00,0.00
4957,-0.00,-0.28,9.79,-0.05,-0.00,0.00
4972,-0.01,-0.26,9.81,-0.05,-0.00,0.00
4987,-0.01,-0.27,9.81,-0.05,-0.00,-0.00
5003,-0.03,-0.24,9.84,-0.05,-0.00,0.00
5019,-0.01,-0.24,9.79,-0.05,-0.00,0.00
5035,-0.05,-0.24,9.79,-0.05,-0.00,-0.00
5050,-0.01,-0.26,9.78,-0.05,-0.00,-0.00
5065,-0.06,-0.25,9.83,-0.05,-0.00,0.00
5081,-0.03,-0.25,9.83,-0.05,-0.00,-0.00
5096,-0.03,-0.25,9.82,-0.05,0.00,-0.00
5111,-0.02,-0.24,9.79,-0.05,-0.00,-0.00
5127,-0.02,-0.23,9.81,-0.05,-0.00,0.00
5142,-0.01,-0.24,9.80,-0.05,-0.00,-0.00
5158,-0.03,-0.25,9.81,-0.05,-0.00,-0.00
5174,-0.04,-0.26,9.81,-0.05,-0.00,0.00
5189,-0.05,-0.25,9.81,-0.05,-0.00,0.00
5204,-0.04,-0.24,9.83,-0.05,-0.00,0.00
5220,-0.04,-0.26,9.77,-0.05,-0.00,-0.00
